"","Model","Metric","Estimate","CI_low","CI_high","p_value","Component","Class","AUC"
"1","sPLSDA","Accuracy",0.9,0.7,1,0,NA,NA,NA
"2","sPLSDA","BalAccuracy",0.916666666666667,0.666666666666667,1,0,NA,NA,NA
"3","sPLSDA","BER",0.0833333333333334,0,0.333333333333333,0,NA,NA,NA
"4","ElasticNet","Accuracy",0.9,0.7,1,0,NA,NA,NA
"5","ElasticNet","BalAccuracy",0.916666666666667,0.666666666666667,1,0.005,NA,NA,NA
"6","ElasticNet","BER",0.0833333333333334,0,0.333333333333333,0.005,NA,NA,NA
"7","PLSDA","Accuracy",0.9,0.7,1,0,NA,NA,NA
"8","PLSDA","BalAccuracy",0.916666666666667,0.666666666666667,1,0,NA,NA,NA
"9","PLSDA","BER",0.0833333333333334,0,0.333333333333333,0,NA,NA,NA
"10","Multinom","Accuracy",0.8,0.5,1,0,NA,NA,NA
"11","Multinom","BalAccuracy",0.75,0.466666666666667,1,0.005,NA,NA,NA
"12","Multinom","BER",0.25,0,0.533333333333333,0.005,NA,NA,NA
"13","sPLSDA",NA,NA,NA,NA,0.08808,"Comp1","NP vs Other(s)",0.8333
"14","sPLSDA",NA,NA,NA,NA,0.2963,"Comp1","FD vs Other(s)",0.75
"15","sPLSDA",NA,NA,NA,NA,0.01052,"Comp1","SO vs Other(s)",1
"16","sPLSDA",NA,NA,NA,NA,0.01052,"Comp2","NP vs Other(s)",1
"17","sPLSDA",NA,NA,NA,NA,0.03671,"Comp2","FD vs Other(s)",1
"18","sPLSDA",NA,NA,NA,NA,0.01902,"Comp2","SO vs Other(s)",0.9583
"19","ElasticNet","AUC_NP",0.958333333333333,0.84284134797086,1,0.00351758793969849,NA,NA,NA
"20","ElasticNet","AUC_FD",1,1,1,0,NA,NA,NA
"21","ElasticNet","AUC_SO",1,1,1,0,NA,NA,NA
"22","Multinom","AUC_NP",0.895833333333333,0.687627195768567,1,0.00302114803625378,NA,NA,NA
"23","Multinom","AUC_FD",0.625,0,1,0.102266445550028,NA,NA,NA
"24","Multinom","AUC_SO",0.958333333333333,0.84284134797086,1,0.00352112676056338,NA,NA,NA
"25","PLSDA",NA,NA,NA,NA,0.08808,"Comp1","NP vs Other(s)",0.8333
"26","PLSDA",NA,NA,NA,NA,0.2963,"Comp1","FD vs Other(s)",0.75
"27","PLSDA",NA,NA,NA,NA,0.01052,"Comp1","SO vs Other(s)",1
"28","PLSDA",NA,NA,NA,NA,0.01052,"Comp2","NP vs Other(s)",1
"29","PLSDA",NA,NA,NA,NA,0.03671,"Comp2","FD vs Other(s)",1
"30","PLSDA",NA,NA,NA,NA,0.01902,"Comp2","SO vs Other(s)",0.9583
